Player,Year,Age,Pos,Tm,G,MP,perf,PTS
Randolph Morris,2010,24,PF-C,ATL,28,124,0,62
Randy Foye,2010,26,PG,WAS,70,1667,0,704
Rashard Lewis,2010,30,PF-C,ORL,72,2369,0,1013
Rasheed Wallace,2010,35,PF-C,BOS,79,1780,0,710
Rasho Nesterovic,2010,33,PF-C,TOR,42,413,1,163
Rasual Butler,2010,30,SG-SF,LAC,82,2702,0,979
Ray Allen,2010,34,SG-SF,BOS,80,2819,1,1304
Raymond Felton,2010,25,PG,CHA,80,2643,1,968
Reggie Evans,2010,29,PF-C,TOR,28,311,0,95
Reggie Williams,2010,23,SG-SF,GSW,24,782,1,365
Richard Hamilton,2010,31,SG-SF,DET,46,1552,0,831
Richard Jefferson,2010,29,SG-SF,SAS,81,2520,0,994
Ricky Davis,2010,30,SG-SF,LAC,36,499,0,158
Robin Lopez,2010,21,PF-C,PHO,51,986,1,430
Rodney Carney,2010,25,SG-SF,PHI,68,857,0,319
Rodney Stuckey,2010,23,PG,DET,73,2499,1,1215
Rodrigue Beaubois,2010,21,PG,DAL,56,700,1,397
Roger Mason,2010,29,SG-SF,SAS,79,1515,0,501
Ronald Murray,2010,30,SG-SF,TOT,75,1673,0,746
Ronnie Brewer,2010,24,SG-SF,TOT,58,1742,0,511
Ronnie Price,2010,26,PG,UTA,60,806,0,255
Ronny Turiaf,2010,27,PF-C,GSW,42,872,0,207
Roy Hibbert,2010,23,PF-C,IND,81,2035,1,946
Royal Ivey,2010,28,SG-SF,TOT,44,326,0,93
Rudy Fernandez,2010,24,SG-SF,POR,62,1441,0,503
Rudy Gay,2010,23,SG-SF,MEM,80,3175,1,1567
Russell Westbrook,2010,21,PG,OKC,82,2813,1,1322
Ryan Anderson,2010,21,PF-C,ORL,63,911,1,487
Ryan Gomes,2010,27,SG-SF,MIN,76,2210,0,832
Ryan Hollins,2010,25,PF-C,MIN,73,1223,0,447
Sam Young,2010,24,SG-SF,MEM,80,1321,0,595
Samuel Dalembert,2010,28,PF-C,PHI,82,2124,1,667
Sasha Pavlovic,2010,26,SG-SF,MIN,71,877,0,263
Sasha Vujacic,2010,25,SG-SF,LAL,67,575,0,185
Sean May,2010,25,PF-C,SAC,37,331,0,123
Sean Williams,2010,23,PF-C,NJN,20,227,0,52
